,date,code,open,close,volume
0,2017-01-03,sz.300034,19.6500,20.1900,4438241
1,2017-01-04,sz.300034,20.1000,20.2600,4141908
2,2017-01-05,sz.300034,20.2500,20.2700,3131049
3,2017-01-06,sz.300034,20.2900,20.3000,4925789
4,2017-01-09,sz.300034,20.0100,20.8200,6233074
5,2017-01-10,sz.300034,20.8600,20.5800,3884330
6,2017-01-11,sz.300034,20.6500,20.2300,3491340
7,2017-01-12,sz.300034,20.3500,19.9700,3672305
8,2017-01-13,sz.300034,20.0300,19.9600,2833690
9,2017-01-16,sz.300034,19.6800,19.5000,5826942
10,2017-01-17,sz.300034,19.2100,19.5800,3348795
11,2017-01-18,sz.300034,19.4800,19.2200,3072160
12,2017-01-19,sz.300034,19.2200,18.9800,2319850
13,2017-01-20,sz.300034,18.7000,19.3600,3736596
14,2017-01-23,sz.300034,19.4100,19.8200,3727733
15,2017-01-24,sz.300034,19.8800,19.9600,3275264
16,2017-01-25,sz.300034,19.9000,19.7700,2215097
17,2017-01-26,sz.300034,19.7300,20.1500,2310191
18,2017-02-03,sz.300034,20.1800,20.4100,2594488
19,2017-02-06,sz.300034,20.4400,20.6800,2780474
20,2017-02-07,sz.300034,20.7400,20.1700,4027628
21,2017-02-08,sz.300034,20.1700,20.5100,2689023
22,2017-02-09,sz.300034,20.5000,20.4800,2571647
23,2017-02-10,sz.300034,20.5000,20.1500,2738876
24,2017-02-13,sz.300034,20.2000,20.9700,7688918
25,2017-02-14,sz.300034,20.8300,20.7700,3612043
26,2017-02-15,sz.300034,20.7900,20.2700,3368427
27,2017-02-16,sz.300034,20.2200,20.3400,1838054
28,2017-02-17,sz.300034,20.3400,20.0900,3569025
29,2017-02-20,sz.300034,20.1200,20.2600,1862458
30,2017-02-21,sz.300034,20.3200,20.4100,2856938
31,2017-02-22,sz.300034,20.4000,20.4400,2189734
32,2017-02-23,sz.300034,20.4700,21.0300,10421495
33,2017-02-24,sz.300034,21.0000,21.5300,12184397
34,2017-02-27,sz.300034,21.5000,21.1400,6237667
35,2017-02-28,sz.300034,21.1400,21.4000,7046002
36,2017-03-01,sz.300034,21.3500,21.8600,8305044
37,2017-03-02,sz.300034,21.7500,21.5800,7970092
38,2017-03-03,sz.300034,21.3100,21.5000,5287371
39,2017-03-06,sz.300034,21.5800,21.7000,5303716
40,2017-03-07,sz.300034,21.7500,21.8800,6957505
41,2017-03-08,sz.300034,21.9000,21.4800,4852847
42,2017-03-09,sz.300034,21.4700,21.2200,3977424
43,2017-03-10,sz.300034,21.2800,21.2500,3068395
44,2017-03-13,sz.300034,21.2000,22.0000,7703985
45,2017-03-14,sz.300034,22.0200,22.6000,13364743
46,2017-03-15,sz.300034,22.4100,22.4500,6561277
47,2017-03-16,sz.300034,22.4200,22.5500,5607492
48,2017-03-17,sz.300034,22.5800,22.4400,7861547
49,2017-03-20,sz.300034,22.2700,22.0700,7595890
50,2017-03-21,sz.300034,22.0800,22.4300,8864860
51,2017-03-22,sz.300034,22.1700,22.1300,5592035
52,2017-03-23,sz.300034,22.0300,22.2800,6317766
53,2017-03-24,sz.300034,22.3500,21.7500,5996236
54,2017-03-27,sz.300034,21.7100,21.7700,3461515
55,2017-03-28,sz.300034,21.8200,21.1800,6783314
56,2017-03-29,sz.300034,21.2200,20.9600,3376183
57,2017-03-30,sz.300034,20.8900,20.9200,3961258
58,2017-03-31,sz.300034,20.8500,21.1900,4206649
59,2017-04-05,sz.300034,21.8000,21.6700,7442880
60,2017-04-06,sz.300034,21.4700,21.1200,7469555
61,2017-04-07,sz.300034,21.1500,21.1700,5298753
62,2017-04-10,sz.300034,21.2200,20.7200,4908957
63,2017-04-11,sz.300034,20.5300,21.4800,9128992
64,2017-04-12,sz.300034,21.3900,20.8900,5306568
65,2017-04-13,sz.300034,20.8300,20.8500,2564980
66,2017-04-14,sz.300034,20.9700,20.6000,4528619
67,2017-04-17,sz.300034,20.5100,19.6800,6638872
68,2017-04-18,sz.300034,19.7200,19.6400,3164620
69,2017-04-19,sz.300034,19.7800,19.3100,3669170
70,2017-04-20,sz.300034,19.3100,19.2400,1894526
71,2017-04-21,sz.300034,19.3300,18.7900,2867635
72,2017-04-24,sz.300034,18.8400,16.9200,9681041
73,2017-04-25,sz.300034,16.9700,17.1900,3114756
74,2017-04-26,sz.300034,17.2500,17.1100,3861628
75,2017-04-27,sz.300034,17.1400,17.2100,5882734
76,2017-04-28,sz.300034,17.1900,17.6300,4441712
77,2017-05-02,sz.300034,17.6700,17.3800,3379742
78,2017-05-03,sz.300034,17.2600,17.9900,8535183
79,2017-05-04,sz.300034,18.0000,17.8100,5673566
80,2017-05-05,sz.300034,17.9100,17.1200,5380462
81,2017-05-08,sz.300034,16.8900,16.7200,3352330
82,2017-05-09,sz.300034,16.3600,16.9100,2629016
83,2017-05-10,sz.300034,16.9200,16.4000,2842882
84,2017-05-11,sz.300034,16.4000,16.5500,4374222
85,2017-05-12,sz.300034,16.4400,16.5000,1699255
86,2017-05-15,sz.300034,16.5900,16.6700,2223491
87,2017-05-16,sz.300034,16.6400,17.0100,4113479
88,2017-05-17,sz.300034,17.0500,17.0900,5063045
89,2017-05-18,sz.300034,16.7000,16.8200,2336503
90,2017-05-19,sz.300034,16.8100,16.7400,2543055
91,2017-05-22,sz.300034,16.8900,16.4900,2994149
92,2017-05-23,sz.300034,16.4000,15.2700,6708343
93,2017-05-24,sz.300034,15.0600,15.4200,2199234
94,2017-05-25,sz.300034,15.4000,15.5100,2715035
95,2017-05-26,sz.300034,15.4600,15.3800,2631549
96,2017-05-31,sz.300034,15.7000,15.3500,1809195
97,2017-06-01,sz.300034,15.2100,14.7600,2722832
98,2017-06-02,sz.300034,14.5500,15.0400,2927026
99,2017-06-05,sz.300034,15.1800,15.2200,1856223
100,2017-06-06,sz.300034,15.1600,15.5200,3296630
101,2017-06-07,sz.300034,15.5500,15.8500,3551633
102,2017-06-08,sz.300034,15.8200,15.6700,2205285
103,2017-06-09,sz.300034,15.6100,15.5300,2792141
104,2017-06-12,sz.300034,15.4300,15.3300,2551311
105,2017-06-13,sz.300034,15.2800,15.6200,2410597
106,2017-06-14,sz.300034,15.6200,15.7700,3031109
107,2017-06-15,sz.300034,15.8600,15.9600,3640448
108,2017-06-16,sz.300034,15.9800,16.1000,2982662
