,date,code,open,close,high,low,volume
0,2017-01-03,sz.000671,5.5800,5.5800,5.6100,5.5500,23318459
1,2017-01-04,sz.000671,5.5700,5.5900,5.5900,5.5500,17343083
2,2017-01-05,sz.000671,5.5900,5.5700,5.6000,5.5000,25293105
3,2017-01-06,sz.000671,5.5700,5.5700,5.5700,5.5700,0
4,2017-01-09,sz.000671,5.5700,5.5700,5.5700,5.5700,0
5,2017-01-10,sz.000671,5.5700,5.5700,5.5700,5.5700,0
6,2017-01-11,sz.000671,5.5700,5.5700,5.5700,5.5700,0
7,2017-01-12,sz.000671,5.5700,5.5700,5.5700,5.5700,0
8,2017-01-13,sz.000671,5.5700,5.5700,5.5700,5.5700,0
9,2017-01-16,sz.000671,5.5700,5.5700,5.5700,5.5700,0
10,2017-01-17,sz.000671,5.5700,5.5700,5.5700,5.5700,0
11,2017-01-18,sz.000671,5.5700,5.5700,5.5700,5.5700,0
12,2017-01-19,sz.000671,5.5700,5.5700,5.5700,5.5700,0
13,2017-01-20,sz.000671,5.5700,5.5700,5.5700,5.5700,0
14,2017-01-23,sz.000671,5.5700,5.7500,5.9100,5.5500,43464825
15,2017-01-24,sz.000671,5.7500,5.6900,5.8000,5.6500,22170586
16,2017-01-25,sz.000671,5.7000,5.6900,5.7100,5.5900,27622380
17,2017-01-26,sz.000671,5.6800,5.6800,5.6900,5.6500,9586342
18,2017-02-03,sz.000671,5.6800,5.6200,5.6800,5.5800,15203747
19,2017-02-06,sz.000671,5.6000,5.6100,5.6100,5.5700,14445559
20,2017-02-07,sz.000671,5.6000,5.5800,5.6000,5.5300,30828168
21,2017-02-08,sz.000671,5.5600,5.5900,5.6000,5.5200,20759013
22,2017-02-09,sz.000671,5.5800,5.6000,5.6500,5.5500,14996444
23,2017-02-10,sz.000671,5.6000,5.6400,5.6500,5.5800,14856368
24,2017-02-13,sz.000671,5.6300,5.6800,5.7200,5.6200,16476533
25,2017-02-14,sz.000671,5.6900,5.7000,5.7100,5.6600,14990130
26,2017-02-15,sz.000671,5.7000,5.6700,5.7200,5.6600,11387935
27,2017-02-16,sz.000671,5.6700,5.7000,5.7000,5.6500,10286708
28,2017-02-17,sz.000671,5.7100,5.6500,5.7100,5.6400,10388704
29,2017-02-20,sz.000671,5.6300,5.7000,5.7100,5.6300,16214925
30,2017-02-21,sz.000671,5.7100,5.8400,5.8600,5.7000,27936389
31,2017-02-22,sz.000671,5.8700,5.9400,6.0300,5.8300,42237314
32,2017-02-23,sz.000671,5.9000,5.8900,5.9700,5.8600,16659582
33,2017-02-24,sz.000671,5.8800,5.9000,5.9000,5.8600,6884158
34,2017-02-27,sz.000671,5.8900,5.6700,5.9100,5.6500,38030925
35,2017-02-28,sz.000671,5.6700,5.6500,5.7100,5.6200,16017007
36,2017-03-01,sz.000671,5.6500,5.7100,5.7200,5.6300,13258696
37,2017-03-02,sz.000671,5.7100,5.6600,5.7300,5.6500,11691659
38,2017-03-03,sz.000671,5.6500,5.6400,5.7100,5.6000,8531358
39,2017-03-06,sz.000671,5.6500,5.6700,5.6700,5.6200,10078775
40,2017-03-07,sz.000671,5.6700,5.6900,5.7000,5.6500,15532837
41,2017-03-08,sz.000671,5.6900,5.7200,5.7200,5.6700,12604569
42,2017-03-09,sz.000671,5.7200,5.6600,5.7200,5.6300,15317345
43,2017-03-10,sz.000671,5.6600,5.6600,5.7100,5.6400,13847657
44,2017-03-13,sz.000671,5.6800,5.7900,5.8300,5.6800,27675628
45,2017-03-14,sz.000671,5.8000,5.7100,5.8100,5.7000,16133712
46,2017-03-15,sz.000671,5.7200,5.8400,5.9700,5.7100,38965246
47,2017-03-16,sz.000671,5.8200,5.8100,5.8800,5.7600,32474315
48,2017-03-17,sz.000671,5.7800,5.6900,5.8300,5.6500,21992155
49,2017-03-20,sz.000671,5.6500,5.6800,5.6900,5.6300,20063691
50,2017-03-21,sz.000671,5.6800,5.6400,5.6800,5.6200,20802422
51,2017-03-22,sz.000671,5.6200,5.5400,5.6200,5.4800,28619581
52,2017-03-23,sz.000671,5.5400,5.5500,5.5800,5.5000,16478294
53,2017-03-24,sz.000671,5.5400,5.5600,5.5700,5.5100,12964953
54,2017-03-27,sz.000671,5.5500,5.5500,5.5700,5.5000,13715143
