,date,code,open,close,high,low,volume
0,2018-06-25,sz.300747,45.7300,54.8800,54.8800,45.7300,21742
1,2018-06-26,sz.300747,60.3700,60.3700,60.3700,60.3700,8900
2,2018-06-27,sz.300747,66.4100,66.4100,66.4100,66.4100,21849
3,2018-06-28,sz.300747,73.0500,73.0500,73.0500,73.0500,31874
4,2018-06-29,sz.300747,80.3600,80.3600,80.3600,80.3600,90858
5,2018-07-02,sz.300747,88.4000,88.4000,88.4000,88.4000,51006
6,2018-07-03,sz.300747,97.2400,97.2400,97.2400,97.2400,58546
7,2018-07-04,sz.300747,106.9600,106.9600,106.9600,106.9600,144480
8,2018-07-05,sz.300747,117.6600,117.6600,117.6600,117.6600,249384
9,2018-07-06,sz.300747,129.4300,129.4300,129.4300,129.4300,433775
10,2018-07-09,sz.300747,142.3700,142.3700,142.3700,142.3700,269085
11,2018-07-10,sz.300747,156.6100,156.6100,156.6100,156.6100,175637
12,2018-07-11,sz.300747,172.2700,172.2700,172.2700,172.2700,4055377
13,2018-07-12,sz.300747,189.5000,189.5000,189.5000,182.5100,19952793
14,2018-07-13,sz.300747,203.5000,208.4500,208.4500,201.0000,5361775
15,2018-07-16,sz.300747,211.4000,213.0000,220.0000,205.0100,11861084
16,2018-07-17,sz.300747,209.9000,216.8000,219.0000,207.1000,9116179
17,2018-07-18,sz.300747,216.9000,204.9800,216.9000,201.3100,9946766
18,2018-07-19,sz.300747,205.1000,206.7700,210.0000,197.7700,8220389
19,2018-07-20,sz.300747,205.0500,209.8000,209.9900,200.5800,6809913
20,2018-07-23,sz.300747,207.7300,207.9700,211.6200,203.3500,6270310
21,2018-07-24,sz.300747,206.6600,216.0000,225.0000,205.0300,9663591
22,2018-07-25,sz.300747,214.0000,194.4000,217.8500,194.4000,10220280
23,2018-07-26,sz.300747,196.9200,192.0000,198.8800,192.0000,6317823
24,2018-07-27,sz.300747,191.0000,187.5000,193.8300,185.3300,5412883
25,2018-07-30,sz.300747,187.6000,191.0200,191.4900,186.2200,3550157
26,2018-07-31,sz.300747,189.3900,181.6100,189.9000,178.0000,5284913
27,2018-08-01,sz.300747,182.7300,181.4100,185.4800,180.1000,3307405
28,2018-08-02,sz.300747,177.9900,181.8800,186.5000,175.0500,4680795
29,2018-08-03,sz.300747,181.3900,168.5100,181.9700,168.4000,5378596
30,2018-08-06,sz.300747,166.5800,156.4000,167.5000,155.5000,6130037
31,2018-08-07,sz.300747,155.6200,159.5800,160.8000,155.6200,5269923
32,2018-08-08,sz.300747,158.5500,151.9300,158.5500,148.7800,6587066
33,2018-08-09,sz.300747,151.5000,156.0000,160.6900,150.5200,6112231
34,2018-08-10,sz.300747,154.2800,159.0500,166.4000,153.3000,5817231
35,2018-08-13,sz.300747,155.6700,163.3000,163.8700,155.0500,5056756
36,2018-08-14,sz.300747,163.0300,154.5800,163.2900,152.6800,6056652
37,2018-08-15,sz.300747,154.5000,146.0000,156.3300,145.2700,5504250
38,2018-08-16,sz.300747,143.0000,142.5700,146.2000,141.0100,4471284
39,2018-08-17,sz.300747,145.0600,142.8000,148.2900,142.4100,4057814
40,2018-08-20,sz.300747,142.1800,152.5900,153.5300,140.7700,5904848
41,2018-08-21,sz.300747,155.9100,167.8500,167.8500,154.0200,8322954
42,2018-08-22,sz.300747,165.8100,160.9700,166.8400,160.0100,5304453
43,2018-08-23,sz.300747,162.2000,164.7900,168.4500,160.5100,4909250
44,2018-08-24,sz.300747,163.1200,160.0000,166.4700,160.0000,3581153
45,2018-08-27,sz.300747,160.5100,167.0000,169.8400,160.5100,4389580
46,2018-08-28,sz.300747,167.0000,168.9000,168.9800,161.5000,4548345
47,2018-08-29,sz.300747,167.9000,171.4000,177.0000,167.6600,4777791
48,2018-08-30,sz.300747,170.9000,168.2600,173.5600,166.6100,3433695
49,2018-08-31,sz.300747,166.4600,161.0000,169.5800,160.5100,3780195
50,2018-09-03,sz.300747,160.1100,165.1400,165.8600,156.2200,3515800
51,2018-09-04,sz.300747,164.1100,164.7000,166.4700,161.3800,2941127
52,2018-09-05,sz.300747,164.7000,163.2000,171.5000,162.9900,3478144
53,2018-09-06,sz.300747,161.5000,172.1000,173.8700,160.1300,5058570
54,2018-09-07,sz.300747,172.1000,169.5000,175.5000,166.2100,5128005
55,2018-09-10,sz.300747,168.0000,168.0000,170.9700,165.0300,2755445
56,2018-09-11,sz.300747,167.2000,170.5700,171.2700,164.4300,3141401
57,2018-09-12,sz.300747,169.7700,171.8000,173.9700,168.0100,3571663
58,2018-09-13,sz.300747,174.0500,168.7400,174.9500,163.9000,4211840
59,2018-09-14,sz.300747,167.1000,151.8700,169.0000,151.8700,5200443
60,2018-09-17,sz.300747,146.1300,144.8000,148.1600,144.0000,2899669
61,2018-09-18,sz.300747,144.5000,150.8600,151.4800,144.5000,2972519
62,2018-09-19,sz.300747,149.8000,151.3600,154.8400,146.1000,3469070
63,2018-09-20,sz.300747,150.2000,149.9900,152.6600,149.4000,1607515
64,2018-09-21,sz.300747,151.9900,154.6300,156.3000,151.1000,2656926
65,2018-09-25,sz.300747,153.9000,154.0300,155.8000,152.8000,1493373
66,2018-09-26,sz.300747,154.0000,156.1500,157.9000,152.9700,2235259
67,2018-09-27,sz.300747,155.0200,158.0000,163.9600,155.0000,2901132
68,2018-09-28,sz.300747,158.9900,158.0000,161.4000,155.0100,2297425
69,2018-10-08,sz.300747,153.9700,142.2000,153.9700,142.2000,3273026
70,2018-10-09,sz.300747,143.3000,141.7600,145.1800,140.4000,2377953
71,2018-10-10,sz.300747,141.9500,144.7200,145.9800,141.9500,2057804
72,2018-10-11,sz.300747,137.8300,130.2500,138.0000,130.2500,3706377
