,date,code,open,close,high,low,volume
0,2017-01-03,sz.000959,6.5900,6.9500,6.9800,6.5800,27813005
1,2017-01-04,sz.000959,6.9500,7.6500,7.6500,6.9100,53077721
2,2017-01-05,sz.000959,7.8000,7.5900,7.8100,7.4800,24063586
3,2017-01-06,sz.000959,7.6600,7.6500,7.6800,7.5000,13376553
4,2017-01-09,sz.000959,7.5800,7.5500,7.6900,7.5000,17278812
5,2017-01-10,sz.000959,7.5000,7.3600,7.5100,7.2100,12655621
6,2017-01-11,sz.000959,7.4300,7.4400,7.6600,7.3000,18112778
7,2017-01-12,sz.000959,7.4000,7.2900,7.6000,7.2600,13449469
8,2017-01-13,sz.000959,7.2800,7.4100,7.5300,7.2300,8787862
9,2017-01-16,sz.000959,7.4100,7.0400,7.4100,6.8000,18026391
10,2017-01-17,sz.000959,6.9400,6.9800,7.0000,6.8400,7382979
11,2017-01-18,sz.000959,6.9000,7.0200,7.1200,6.9000,5726717
12,2017-01-19,sz.000959,7.0300,6.8700,7.0300,6.8000,6375240
13,2017-01-20,sz.000959,6.8000,6.8900,6.9900,6.8000,6481549
14,2017-01-23,sz.000959,6.8500,6.9300,7.0200,6.8500,8954367
15,2017-01-24,sz.000959,6.9200,7.0500,7.1500,6.8900,13857142
16,2017-01-25,sz.000959,7.0100,7.2000,7.3100,6.9700,13696523
17,2017-01-26,sz.000959,7.1700,7.2900,7.3700,7.1200,10469007
18,2017-02-03,sz.000959,7.2200,7.2100,7.3400,7.1600,6671319
19,2017-02-06,sz.000959,7.1900,7.1200,7.2400,7.0800,6020629
20,2017-02-07,sz.000959,7.1000,7.1500,7.1500,7.0600,6876175
21,2017-02-08,sz.000959,7.1700,7.0900,7.1800,7.0000,5762856
22,2017-02-09,sz.000959,7.0800,7.1400,7.2600,7.0200,6170087
23,2017-02-10,sz.000959,7.2100,7.3100,7.6800,7.1500,16858531
24,2017-02-13,sz.000959,7.3000,7.3100,7.3800,7.2400,9367245
25,2017-02-14,sz.000959,7.4100,7.3400,7.4500,7.2800,9458225
26,2017-02-15,sz.000959,7.3100,7.1200,7.3500,7.1000,10545847
27,2017-02-16,sz.000959,7.1000,7.1500,7.2100,7.1000,5256383
28,2017-02-17,sz.000959,7.1500,7.0100,7.1700,6.9900,7398720
29,2017-02-20,sz.000959,7.0400,7.2800,7.3000,7.0200,9758485
30,2017-02-21,sz.000959,7.2800,7.2900,7.4000,7.2300,7511983
31,2017-02-22,sz.000959,7.3000,7.3300,7.3900,7.2500,9622993
32,2017-02-23,sz.000959,7.3000,7.1900,7.3000,7.1500,6534119
33,2017-02-24,sz.000959,7.1900,7.2700,7.2800,7.0500,6696741
34,2017-02-27,sz.000959,7.3000,7.2300,7.3600,7.2300,7507410
35,2017-02-28,sz.000959,7.2200,7.2300,7.2500,7.1100,4598091
36,2017-03-01,sz.000959,7.2300,7.1900,7.2600,7.1700,5060824
37,2017-03-02,sz.000959,7.1900,7.1700,7.2400,7.1100,5593041
38,2017-03-03,sz.000959,7.1700,7.1900,7.2100,7.1100,4992025
39,2017-03-06,sz.000959,7.1900,7.2600,7.2600,7.1400,3787645
40,2017-03-07,sz.000959,7.2600,7.2700,7.3100,7.1900,5054610
41,2017-03-08,sz.000959,7.2500,7.2500,7.2700,7.2000,2834066
42,2017-03-09,sz.000959,7.2500,7.1800,7.2700,7.0900,4208350
43,2017-03-10,sz.000959,7.1500,7.1800,7.2400,7.1500,3352839
44,2017-03-13,sz.000959,7.1700,7.1900,7.2300,7.1200,3563304
45,2017-03-14,sz.000959,7.1600,7.1900,7.2300,7.1300,3835648
46,2017-03-15,sz.000959,7.1900,7.1000,7.2000,7.0500,6193306
47,2017-03-16,sz.000959,7.1000,7.2200,7.2200,7.0400,11654271
48,2017-03-17,sz.000959,7.2100,7.1200,7.2400,7.1100,5418439
49,2017-03-20,sz.000959,7.1100,7.1100,7.1800,7.0700,3854895
50,2017-03-21,sz.000959,7.1000,7.1100,7.1500,7.0600,4538860
51,2017-03-22,sz.000959,7.0800,7.2400,7.2800,7.0600,7759237
52,2017-03-23,sz.000959,7.2400,7.2200,7.2900,7.1500,6121469
53,2017-03-24,sz.000959,7.2100,7.6100,7.6500,7.1600,15543898
54,2017-03-27,sz.000959,7.5500,7.3900,7.5700,7.3300,9132302
55,2017-03-28,sz.000959,7.3800,7.2500,7.4000,7.2300,7037721
56,2017-03-29,sz.000959,7.2500,7.2200,7.3100,7.0900,9218119
57,2017-03-30,sz.000959,7.2300,7.0800,7.2500,7.0700,6835279
58,2017-03-31,sz.000959,7.1000,7.1300,7.1800,7.0600,4925021
59,2017-04-05,sz.000959,7.8400,7.8400,7.8400,7.8400,22291439
60,2017-04-06,sz.000959,8.4700,8.6200,8.6200,8.2200,49115366
61,2017-04-07,sz.000959,8.4000,8.2000,8.5800,7.9000,91897029
62,2017-04-10,sz.000959,8.0600,8.6300,8.8500,7.8300,89948920
63,2017-04-11,sz.000959,8.5500,9.4900,9.4900,8.4100,129542519
64,2017-04-12,sz.000959,9.0000,8.5400,9.2500,8.5400,107122590
65,2017-04-13,sz.000959,8.1500,8.4500,8.7000,8.1000,56620526
66,2017-04-14,sz.000959,8.4500,8.0700,8.5500,7.9100,44145230
67,2017-04-17,sz.000959,8.1000,7.7200,8.2000,7.5900,34243194
68,2017-04-18,sz.000959,7.7400,7.6900,7.8900,7.6200,30793455
69,2017-04-19,sz.000959,7.5000,7.5400,7.6500,7.4000,24917620
70,2017-04-20,sz.000959,7.5200,7.1300,7.5300,7.0500,35553118
71,2017-04-21,sz.000959,7.1200,7.0600,7.2800,7.0200,18729148
72,2017-04-24,sz.000959,7.0700,7.3600,7.3800,6.6300,38352186
73,2017-04-25,sz.000959,7.2800,7.5100,7.6900,7.2100,32509205
74,2017-04-26,sz.000959,7.4700,7.6200,7.6900,7.3000,25015126
75,2017-04-27,sz.000959,7.4800,7.5700,7.7900,7.4800,24901374
76,2017-04-28,sz.000959,7.5200,7.7800,8.0500,7.4100,23616462
77,2017-05-02,sz.000959,7.7000,7.7000,7.7500,7.5400,18332631
78,2017-05-03,sz.000959,7.6300,7.3200,7.6500,7.2100,17977330
79,2017-05-04,sz.000959,7.1500,7.2600,7.6500,7.1500,22383525
80,2017-05-05,sz.000959,7.1700,7.2000,7.3700,7.1500,12908440
81,2017-05-08,sz.000959,7.2000,7.0000,7.2500,7.0000,13381752
82,2017-05-09,sz.000959,7.0100,7.0100,7.0600,6.7900,11958716
83,2017-05-10,sz.000959,6.9800,6.6300,7.0100,6.6000,13344717
84,2017-05-11,sz.000959,6.6100,6.8100,6.8300,6.3600,18272153
85,2017-05-12,sz.000959,6.8100,6.7000,6.8300,6.6300,9276809
86,2017-05-15,sz.000959,6.7000,6.6600,6.7700,6.6500,6755585
87,2017-05-16,sz.000959,6.6500,6.8300,6.8400,6.5200,11119422
88,2017-05-17,sz.000959,6.8200,6.9800,7.1300,6.7600,16795450
89,2017-05-18,sz.000959,6.9400,6.7700,7.0100,6.7500,12487143
90,2017-05-19,sz.000959,6.7200,6.8400,6.9000,6.7200,6899057
91,2017-05-22,sz.000959,6.8400,6.7900,6.9800,6.7400,10254104
92,2017-05-23,sz.000959,6.8100,6.5200,6.8100,6.5200,9465284
93,2017-05-24,sz.000959,6.4800,6.5700,6.6300,6.4300,6675942
94,2017-05-25,sz.000959,6.5700,6.6200,6.6500,6.4700,9906317
95,2017-05-26,sz.000959,6.6000,6.6900,6.8300,6.5700,11817161
96,2017-05-31,sz.000959,6.6900,6.6700,6.8200,6.6700,9180273
97,2017-06-01,sz.000959,6.6500,6.6300,6.7500,6.6300,13902192
98,2017-06-02,sz.000959,6.6700,6.7500,6.7600,6.5000,12309043
99,2017-06-05,sz.000959,6.7500,6.7300,6.8500,6.6800,10047856
100,2017-06-06,sz.000959,6.7300,6.7100,6.7600,6.6600,7567275
101,2017-06-07,sz.000959,6.7200,6.8100,6.8200,6.6800,12479621
102,2017-06-08,sz.000959,6.8000,6.8200,6.8800,6.7700,9139989
103,2017-06-09,sz.000959,6.8200,6.8500,6.8700,6.7100,15352759
104,2017-06-12,sz.000959,6.8000,6.6800,6.8300,6.6800,7143692
105,2017-06-13,sz.000959,6.6900,6.6600,6.6900,6.6200,8862825
106,2017-06-14,sz.000959,6.6600,6.5400,6.6900,6.5200,10483612
107,2017-06-15,sz.000959,6.5400,6.5900,6.6000,6.4800,11344201
108,2017-06-16,sz.000959,6.5900,6.5700,6.6300,6.5600,7058799
