,date,code,open,close,high,low,volume
0,2017-01-03,sh.603085,50.4800,50.5000,50.7500,49.8100,599418
1,2017-01-04,sh.603085,50.5000,50.6100,50.6700,49.9800,717235
2,2017-01-05,sh.603085,50.6500,50.1600,51.5900,50.1000,644876
3,2017-01-06,sh.603085,49.9200,48.9000,50.3000,48.8500,831148
4,2017-01-09,sh.603085,48.9000,49.1600,49.6000,48.1000,540119
5,2017-01-10,sh.603085,49.3800,49.1700,49.7800,49.0000,340404
6,2017-01-11,sh.603085,48.7700,47.8500,49.4400,47.5000,637847
7,2017-01-12,sh.603085,47.8500,47.4200,48.9000,47.2500,377500
8,2017-01-13,sh.603085,47.4500,43.7000,47.9100,43.6600,1599900
9,2017-01-16,sh.603085,43.6000,43.3800,43.8800,40.5000,1005745
10,2017-01-17,sh.603085,42.6100,43.7600,43.8000,41.0100,1036876
11,2017-01-18,sh.603085,43.3000,43.0600,43.3800,42.7100,511169
12,2017-01-19,sh.603085,42.3000,41.7100,43.1800,41.0500,837606
13,2017-01-20,sh.603085,42.0000,42.4900,42.8400,41.7100,682291
14,2017-01-23,sh.603085,42.5000,43.8300,44.1900,42.5000,684893
15,2017-01-24,sh.603085,43.7000,43.5000,44.2900,43.3300,539590
16,2017-01-25,sh.603085,43.5800,43.4400,43.8500,43.1500,502435
17,2017-01-26,sh.603085,43.7300,44.0900,44.2900,43.3600,250908
18,2017-02-03,sh.603085,44.1200,43.8000,44.1200,43.4000,213327
19,2017-02-06,sh.603085,43.8000,44.2000,44.3000,43.3000,252200
20,2017-02-07,sh.603085,44.2800,44.0400,44.3800,43.9100,499303
21,2017-02-08,sh.603085,44.2600,44.4600,44.5500,43.8900,380501
22,2017-02-09,sh.603085,44.4700,45.2500,45.2600,44.2100,496440
23,2017-02-10,sh.603085,45.4800,45.0100,45.8800,44.4500,525690
24,2017-02-13,sh.603085,45.0400,45.6900,45.9900,44.5500,460355
25,2017-02-14,sh.603085,46.3300,46.4600,47.5100,45.5000,855078
26,2017-02-15,sh.603085,46.6000,46.1700,47.2000,45.5200,575450
27,2017-02-16,sh.603085,45.6500,46.5000,46.5000,45.6500,361831
28,2017-02-17,sh.603085,46.4000,45.4600,46.6000,45.4500,551073
29,2017-02-20,sh.603085,45.0000,44.0600,45.4300,43.6000,927569
30,2017-02-21,sh.603085,44.0200,44.4300,44.5900,43.6300,297174
31,2017-02-22,sh.603085,44.8000,44.4500,44.8500,44.3300,334559
32,2017-02-23,sh.603085,44.4600,44.4100,44.6300,44.0300,408302
33,2017-02-24,sh.603085,44.4200,45.1900,45.2800,44.3000,439972
34,2017-02-27,sh.603085,45.1000,44.8000,45.1000,44.6200,444440
35,2017-02-28,sh.603085,44.6900,44.8700,44.9900,44.3000,587497
36,2017-03-01,sh.603085,44.8600,44.9600,45.1500,44.8000,484907
37,2017-03-02,sh.603085,44.6700,47.0100,47.6700,44.6700,1559885
38,2017-03-03,sh.603085,46.4600,46.2100,46.7800,45.8500,1141060
39,2017-03-06,sh.603085,45.9100,46.7700,47.3000,45.9000,928834
40,2017-03-07,sh.603085,47.0500,46.9700,47.0500,46.5000,469954
41,2017-03-08,sh.603085,46.6700,46.2900,47.2500,46.0000,543587
42,2017-03-09,sh.603085,46.0900,46.1900,46.4700,46.0000,416700
43,2017-03-10,sh.603085,46.3000,47.0700,47.1000,46.0200,583804
44,2017-03-13,sh.603085,47.1600,50.3900,51.7800,47.1000,3122771
45,2017-03-14,sh.603085,50.5000,49.6600,51.0000,49.0000,1701362
46,2017-03-15,sh.603085,49.6000,51.1200,51.6800,48.8800,2108782
47,2017-03-16,sh.603085,51.4000,51.1500,51.4000,50.3700,999305
48,2017-03-17,sh.603085,51.3000,49.7300,52.4800,49.6000,1379598
49,2017-03-20,sh.603085,50.0000,50.2100,50.8100,49.3300,763766
50,2017-03-21,sh.603085,50.3000,50.8900,51.1900,50.0400,1108880
51,2017-03-22,sh.603085,50.7800,51.1200,51.1900,50.2300,701829
52,2017-03-23,sh.603085,51.4500,51.1600,51.5000,49.4800,1068429
53,2017-03-24,sh.603085,51.3700,51.2700,51.3700,50.7100,538488
54,2017-03-27,sh.603085,51.1500,53.9900,54.9900,51.1100,1984054
55,2017-03-28,sh.603085,53.9900,53.9900,53.9900,53.9900,0
56,2017-03-29,sh.603085,52.0000,51.0600,52.6000,50.3000,2282699
57,2017-03-30,sh.603085,50.0000,49.7300,51.2900,49.6000,1095172
58,2017-03-31,sh.603085,49.3300,50.9000,51.8000,49.0300,909460
59,2017-04-05,sh.603085,50.9000,52.0000,52.5000,50.4600,984303
60,2017-04-06,sh.603085,51.7300,51.8900,52.6000,51.3300,1028034
61,2017-04-07,sh.603085,51.7000,51.8900,52.1200,50.5600,760931
62,2017-04-10,sh.603085,51.6500,50.9900,51.6500,50.1000,694106
63,2017-04-11,sh.603085,50.6700,50.3400,51.1500,49.4900,821522
64,2017-04-12,sh.603085,50.3000,48.9600,50.4500,48.7500,572184
65,2017-04-13,sh.603085,48.9600,48.0700,49.3600,47.5000,653142
66,2017-04-14,sh.603085,48.2800,47.9900,48.7500,47.7200,311348
67,2017-04-17,sh.603085,47.9900,46.1100,48.4500,44.2400,491250
68,2017-04-18,sh.603085,46.1100,46.4300,47.0800,45.1700,557183
69,2017-04-19,sh.603085,46.2900,46.2400,47.0100,45.5000,338030
70,2017-04-20,sh.603085,46.5000,46.0700,46.8300,45.7300,307000
71,2017-04-21,sh.603085,46.6500,46.4900,46.7000,46.1300,277161
72,2017-04-24,sh.603085,46.2000,45.1400,46.6900,45.0000,272671
73,2017-04-25,sh.603085,45.4900,45.2500,45.7900,45.1000,173817
74,2017-04-26,sh.603085,45.0100,45.6900,45.7500,44.9900,158177
75,2017-04-27,sh.603085,45.8900,46.2100,46.2600,44.3000,375504
76,2017-04-28,sh.603085,45.6500,47.5700,47.7200,45.6500,334833
77,2017-05-02,sh.603085,47.5700,47.6400,48.0000,46.6300,252276
78,2017-05-03,sh.603085,47.3000,47.1600,47.8800,46.8200,170300
79,2017-05-04,sh.603085,46.9500,46.7900,47.5800,46.6300,185231
80,2017-05-05,sh.603085,46.8000,49.2600,49.8900,46.7000,1571328
81,2017-05-08,sh.603085,49.2200,48.0200,49.2200,47.8800,555521
82,2017-05-09,sh.603085,48.0400,47.7800,48.1000,45.0000,692183
83,2017-05-10,sh.603085,47.5100,47.2800,48.5000,46.6700,765763
84,2017-05-11,sh.603085,47.0000,45.7900,47.2500,45.0000,497325
85,2017-05-12,sh.603085,45.7800,45.3700,46.0000,44.6000,923308
86,2017-05-15,sh.603085,45.2800,44.7900,45.8000,44.5300,213880
87,2017-05-16,sh.603085,44.5000,45.3200,45.5000,43.2000,461055
88,2017-05-17,sh.603085,45.3200,45.4400,46.3300,45.2700,384842
89,2017-05-18,sh.603085,45.1000,44.4400,45.6000,44.4200,414544
90,2017-05-19,sh.603085,44.3000,44.5500,44.9400,44.0000,262660
91,2017-05-22,sh.603085,44.5500,43.0100,44.8700,42.5000,315700
92,2017-05-23,sh.603085,42.8900,42.2500,43.5100,41.2800,470410
93,2017-05-24,sh.603085,42.2100,42.0900,42.3000,40.6500,494210
94,2017-05-25,sh.603085,42.0800,42.4200,42.5500,41.0300,358877
95,2017-05-26,sh.603085,42.4000,42.4400,42.9700,42.1000,304911
96,2017-05-31,sh.603085,42.9000,42.1800,43.4000,42.1000,259881
97,2017-06-01,sh.603085,42.2100,40.7300,42.2100,39.7000,751460
98,2017-06-02,sh.603085,40.1600,41.6800,42.1100,39.3100,623900
99,2017-06-05,sh.603085,41.6800,41.7900,42.3000,41.3000,722743
100,2017-06-06,sh.603085,41.1800,41.5700,42.0400,41.1600,280455
101,2017-06-07,sh.603085,41.5700,43.5000,43.9100,41.4100,1298982
102,2017-06-08,sh.603085,43.2000,44.0000,44.1900,42.9000,1966274
103,2017-06-09,sh.603085,44.0000,43.5100,44.0000,42.4000,1019500
104,2017-06-12,sh.603085,42.5800,43.0200,45.0000,41.8000,862742
105,2017-06-13,sh.603085,43.8000,44.7700,44.9900,43.0300,1217742
106,2017-06-14,sh.603085,44.9000,44.9800,45.3500,43.9800,1088234
107,2017-06-15,sh.603085,22.6000,23.6700,24.6700,22.4400,1975767
108,2017-06-16,sh.603085,22.8100,23.6800,23.9900,22.3300,3804200
109,2017-06-19,sh.603085,23.7500,23.6000,23.8000,23.0900,2779607
110,2017-06-20,sh.603085,23.6000,24.5600,24.6000,23.3000,2880974
111,2017-06-21,sh.603085,24.4000,24.5100,24.5800,23.7100,2773354
112,2017-06-22,sh.603085,24.1500,23.0100,24.3800,22.8000,2505500
113,2017-06-23,sh.603085,22.6900,23.9000,23.9700,22.6900,2042186
114,2017-06-26,sh.603085,23.5500,24.9300,25.1700,23.5500,3685218
115,2017-06-27,sh.603085,24.9300,24.9300,25.0700,24.5100,2281470
116,2017-06-28,sh.603085,24.9300,24.9700,25.3400,24.4100,1435400
117,2017-06-29,sh.603085,24.8800,24.8600,25.4000,24.7300,1495500
118,2017-06-30,sh.603085,24.3000,24.6300,24.9900,24.3000,907820
119,2017-07-03,sh.603085,24.8300,24.9900,25.0900,24.4600,1457506
120,2017-07-04,sh.603085,25.0000,25.0200,25.2700,24.8500,1420600
121,2017-07-05,sh.603085,24.6800,25.7800,25.8200,24.6000,2405554
122,2017-07-06,sh.603085,25.4900,26.2200,26.4800,25.4900,1769712
123,2017-07-07,sh.603085,26.2300,26.1200,26.5800,25.8000,971400
124,2017-07-10,sh.603085,25.9200,26.0400,26.9000,25.9200,1119300
125,2017-07-11,sh.603085,26.1300,27.0500,27.2800,25.5900,1897100
126,2017-07-12,sh.603085,27.4500,27.0400,28.0500,26.5500,1718120
127,2017-07-13,sh.603085,26.8000,26.3200,27.0500,26.1800,1020700
128,2017-07-14,sh.603085,26.2000,26.5100,26.8200,26.2000,712200
129,2017-07-17,sh.603085,26.4000,25.0000,26.7400,24.0000,1381736
130,2017-07-18,sh.603085,25.3700,25.0500,25.5000,24.5600,569670
131,2017-07-19,sh.603085,25.0500,26.5100,26.8400,24.8300,1288700
132,2017-07-20,sh.603085,27.2000,28.0800,28.1000,26.5100,3051887
133,2017-07-21,sh.603085,28.6000,28.4600,28.6000,27.3300,2261332
134,2017-07-24,sh.603085,28.0600,29.4900,29.6400,27.7200,2313556
135,2017-07-25,sh.603085,29.3000,29.6800,30.3400,29.0500,1648800
136,2017-07-26,sh.603085,29.7900,29.1900,29.8000,28.8000,1247846
137,2017-07-27,sh.603085,29.1900,28.9600,29.2900,28.5800,1555656
138,2017-07-28,sh.603085,28.9600,28.5700,29.8000,28.5000,1335636
139,2017-07-31,sh.603085,28.9600,29.1000,29.2700,28.4000,1077668
140,2017-08-01,sh.603085,29.1700,28.8800,29.8700,28.8600,603600
141,2017-08-02,sh.603085,29.0000,29.1500,29.5800,28.4000,976800
142,2017-08-03,sh.603085,29.1500,30.0100,30.0500,28.3000,2447500
143,2017-08-04,sh.603085,29.9500,29.9900,31.0000,29.6200,1045580
144,2017-08-07,sh.603085,29.9200,30.5700,31.0000,29.7400,1459654
145,2017-08-08,sh.603085,30.6400,31.3100,31.8000,30.5900,1690988
146,2017-08-09,sh.603085,31.7100,32.4200,33.9900,31.5000,2922336
147,2017-08-10,sh.603085,32.4400,32.2800,32.4800,31.4000,1740206
148,2017-08-11,sh.603085,31.5500,32.0500,33.4900,31.4000,1712834
149,2017-08-14,sh.603085,31.8000,31.9400,32.8800,31.5100,1033000
150,2017-08-15,sh.603085,31.7000,32.1200,32.4500,31.7000,617178
151,2017-08-16,sh.603085,32.1200,31.8900,32.4000,31.1800,1833456
152,2017-08-17,sh.603085,32.3200,31.7100,32.3200,29.9900,3044100
153,2017-08-18,sh.603085,31.7200,33.2800,34.3100,30.5000,2883564
154,2017-08-21,sh.603085,33.2500,33.4200,33.9000,32.7600,1358816
155,2017-08-22,sh.603085,33.3600,32.6200,33.3600,32.5000,696680
156,2017-08-23,sh.603085,32.6200,32.1800,32.7000,31.8100,894100
157,2017-08-24,sh.603085,32.0000,32.7500,32.9900,31.8000,1183238
158,2017-08-25,sh.603085,32.7600,32.9600,33.3100,32.6000,1132056
159,2017-08-28,sh.603085,32.8500,34.1600,34.3000,32.8500,2225718
160,2017-08-29,sh.603085,34.1600,33.9300,35.9800,33.2200,3133700
