,date,code,open,close,high,low,volume
0,2017-01-03,sz.000961,10.4400,10.7000,10.7500,10.4400,45805195
1,2017-01-04,sz.000961,10.7100,10.6900,10.8900,10.5500,36682510
2,2017-01-05,sz.000961,10.6900,10.7100,10.8200,10.5400,43839147
3,2017-01-06,sz.000961,10.6900,10.4000,10.7400,10.3900,37301678
4,2017-01-09,sz.000961,10.4000,10.4600,10.5100,10.1500,28569061
5,2017-01-10,sz.000961,10.5000,10.4500,10.5300,10.3000,21379532
6,2017-01-11,sz.000961,10.4400,10.4400,10.4800,10.3100,21339974
7,2017-01-12,sz.000961,10.3700,10.3600,10.4500,10.2900,34626000
8,2017-01-13,sz.000961,10.3600,10.2500,10.3700,10.1600,22213957
9,2017-01-16,sz.000961,10.2500,9.8000,10.4400,9.8000,40144550
10,2017-01-17,sz.000961,9.7000,10.0500,10.0900,8.8200,109678238
11,2017-01-18,sz.000961,9.7000,9.9000,10.1000,9.5000,47021421
12,2017-01-19,sz.000961,9.9000,9.7700,10.0100,9.6500,49287728
13,2017-01-20,sz.000961,9.8400,9.6800,9.8400,9.5300,63073451
14,2017-01-23,sz.000961,9.6800,9.2400,9.7500,9.0100,58130434
15,2017-01-24,sz.000961,9.2100,9.2400,9.3200,9.0700,42133646
16,2017-01-25,sz.000961,9.2300,9.2800,9.3000,9.1200,69021168
17,2017-01-26,sz.000961,9.2800,9.7600,9.8000,9.2100,39017999
18,2017-02-03,sz.000961,9.7600,9.9300,9.9800,9.6800,26309580
19,2017-02-06,sz.000961,9.9400,10.1500,10.1900,9.8400,39897996
20,2017-02-07,sz.000961,10.1000,9.8900,10.1000,9.8500,33258828
21,2017-02-08,sz.000961,9.8100,9.8400,9.9300,9.6400,31272896
22,2017-02-09,sz.000961,9.8400,9.8500,9.9000,9.7400,23246700
23,2017-02-10,sz.000961,9.8400,9.7600,9.9000,9.7000,35021547
24,2017-02-13,sz.000961,9.7600,9.9100,9.9300,9.6600,47218882
25,2017-02-14,sz.000961,9.8800,9.7700,9.8800,9.7300,28577390
26,2017-02-15,sz.000961,9.7500,9.6700,9.7500,9.4200,44101802
