,date,code,open,close,high,low,volume
0,2017-01-03,sh.600976,32.0600,31.9500,32.1600,31.8900,1119403
1,2017-01-04,sh.600976,31.9600,32.3900,32.5600,31.9500,1053979
2,2017-01-05,sh.600976,32.1900,32.7600,32.9800,32.1900,1099804
3,2017-01-06,sh.600976,32.7600,33.3500,34.0800,32.5100,2793989
4,2017-01-09,sh.600976,33.3600,34.1100,34.3400,33.2500,2336400
5,2017-01-10,sh.600976,33.9100,34.1600,34.4100,33.6500,1266649
6,2017-01-11,sh.600976,34.0300,33.8600,34.1000,33.2800,1846724
7,2017-01-12,sh.600976,33.8100,33.4000,34.4700,33.3900,1674157
8,2017-01-13,sh.600976,32.9000,31.9500,33.4800,31.8000,2342239
9,2017-01-16,sh.600976,31.8000,32.4600,33.6000,31.4000,2906839
10,2017-01-17,sh.600976,32.4500,33.0600,33.2000,31.5500,1212838
11,2017-01-18,sh.600976,32.5000,33.2600,33.5500,32.5000,1249886
12,2017-01-19,sh.600976,33.3300,32.1500,33.3300,32.0000,666358
13,2017-01-20,sh.600976,32.2300,32.0600,32.3500,31.8900,1142512
14,2017-01-23,sh.600976,32.0500,31.9600,32.2800,31.7000,1142125
15,2017-01-24,sh.600976,31.9600,31.7600,32.0000,31.5100,544090
16,2017-01-25,sh.600976,31.8000,31.3800,31.8300,31.2500,1402752
17,2017-01-26,sh.600976,31.5200,32.1900,32.3300,31.3800,892407
18,2017-02-03,sh.600976,32.1900,32.0600,32.2600,31.6500,557183
19,2017-02-06,sh.600976,32.0600,31.9700,32.3000,31.8200,802392
20,2017-02-07,sh.600976,31.9900,31.7500,31.9900,31.5500,632887
21,2017-02-08,sh.600976,31.7500,31.6900,31.7600,31.4000,1014711
22,2017-02-09,sh.600976,31.5600,32.0000,32.0500,31.5500,956939
23,2017-02-10,sh.600976,32.0100,31.6100,32.0100,31.5600,1202936
24,2017-02-13,sh.600976,31.5100,31.6600,31.7200,30.9500,1827934
25,2017-02-14,sh.600976,31.5000,31.2900,31.5000,31.2800,1086095
26,2017-02-15,sh.600976,31.3000,31.1500,31.4400,30.9700,1151565
27,2017-02-16,sh.600976,31.2300,30.9800,31.2600,30.8800,742362
28,2017-02-17,sh.600976,30.9700,30.9000,31.1900,30.8100,1271960
29,2017-02-20,sh.600976,30.8200,30.8600,31.2300,30.7000,1190668
30,2017-02-21,sh.600976,30.9700,31.2100,31.2300,30.7400,1296718
31,2017-02-22,sh.600976,31.2100,31.8300,31.9500,31.1700,1848916
32,2017-02-23,sh.600976,31.8400,33.4500,33.8000,31.5800,5911900
33,2017-02-24,sh.600976,33.4500,32.7900,35.0100,32.3900,5325613
34,2017-02-27,sh.600976,32.6900,32.9600,33.2600,32.1600,2619818
35,2017-02-28,sh.600976,32.8000,32.6500,32.9500,32.3500,776093
36,2017-03-01,sh.600976,32.8600,32.7500,32.8600,32.4500,768263
37,2017-03-02,sh.600976,32.8000,32.7700,32.9500,32.5000,842677
38,2017-03-03,sh.600976,32.7200,32.5900,32.8300,32.3900,1070241
39,2017-03-06,sh.600976,32.4800,32.7800,33.1400,32.4000,1034743
40,2017-03-07,sh.600976,32.9000,32.9600,33.2500,32.5800,854295
41,2017-03-08,sh.600976,32.9200,32.7000,33.1300,32.7000,884955
42,2017-03-09,sh.600976,32.8000,32.5700,32.8000,32.4500,786949
43,2017-03-10,sh.600976,32.5600,32.4000,32.8400,32.3000,1427342
44,2017-03-13,sh.600976,32.2300,32.4300,32.6000,32.2300,929334
45,2017-03-14,sh.600976,32.7900,32.3700,32.8000,32.1300,1087089
46,2017-03-15,sh.600976,32.4700,31.8600,32.4700,31.7500,1325390
47,2017-03-16,sh.600976,31.8800,31.8500,32.1400,31.5100,1438813
48,2017-03-17,sh.600976,31.8800,31.9500,32.0000,31.7200,739050
49,2017-03-20,sh.600976,31.9700,32.4200,32.4300,31.7800,901643
50,2017-03-21,sh.600976,32.3500,32.6300,32.6700,32.3200,1014837
51,2017-03-22,sh.600976,32.5500,32.4800,32.6100,32.1300,673027
52,2017-03-23,sh.600976,32.3800,32.1400,32.6700,32.0200,759500
53,2017-03-24,sh.600976,32.1000,31.8800,32.2400,31.8000,1081974
54,2017-03-27,sh.600976,31.9700,31.5400,31.9700,31.5000,1062297
55,2017-03-28,sh.600976,31.5300,31.5300,31.6700,31.2000,818137
56,2017-03-29,sh.600976,31.5300,31.4400,31.9700,31.0600,992827
57,2017-03-30,sh.600976,31.4400,31.1600,31.4600,30.5000,1355992
58,2017-03-31,sh.600976,31.0000,31.1100,31.3500,30.8000,668896
59,2017-04-05,sh.600976,31.0800,31.2600,31.3500,30.1000,1703547
60,2017-04-06,sh.600976,31.0200,31.5300,31.7700,30.7000,1385404
61,2017-04-07,sh.600976,31.6100,31.1500,31.6400,30.9600,1174224
62,2017-04-10,sh.600976,31.0100,30.3400,31.4000,30.1100,1635154
63,2017-04-11,sh.600976,30.3400,30.6000,30.7400,30.2100,877049
64,2017-04-12,sh.600976,30.3500,30.4200,30.6000,30.1800,1523441
65,2017-04-13,sh.600976,30.2300,30.7400,31.0300,30.2300,771566
66,2017-04-14,sh.600976,30.8500,30.4800,31.0000,30.4300,599669
67,2017-04-17,sh.600976,30.4800,29.9400,30.6600,29.2000,1105615
68,2017-04-18,sh.600976,30.2900,29.4000,30.2900,29.2300,2314059
69,2017-04-19,sh.600976,29.2500,29.3800,29.6000,29.1400,1023787
70,2017-04-20,sh.600976,29.4100,30.1600,30.7200,29.4100,1256767
71,2017-04-21,sh.600976,30.0000,29.6400,30.3000,29.6100,866973
72,2017-04-24,sh.600976,29.4500,29.2800,29.8000,29.0000,855496
73,2017-04-25,sh.600976,29.3000,28.9800,29.4300,28.8400,1055329
74,2017-04-26,sh.600976,28.9300,29.0500,29.1600,28.8000,738755
75,2017-04-27,sh.600976,28.9900,29.0500,29.2900,28.8100,496309
76,2017-04-28,sh.600976,28.9900,29.2300,29.4000,28.7000,1899673
77,2017-05-02,sh.600976,29.1800,28.8000,29.1800,28.7800,873544
78,2017-05-03,sh.600976,28.7000,28.4100,28.7000,27.6200,3033655
79,2017-05-04,sh.600976,28.4000,27.9300,28.4000,27.7700,1231249
80,2017-05-05,sh.600976,27.9100,27.5000,27.9600,27.2800,1525229
81,2017-05-08,sh.600976,27.3000,27.2700,27.6500,27.0300,570616
82,2017-05-09,sh.600976,27.2400,27.4800,27.6900,27.0200,382534
83,2017-05-10,sh.600976,27.4700,26.6900,27.5900,26.6300,879376
84,2017-05-11,sh.600976,26.5100,27.2800,27.7200,25.9800,1818940
85,2017-05-12,sh.600976,27.0200,27.0600,27.2400,26.8000,260481
86,2017-05-15,sh.600976,27.0600,26.6800,27.2800,26.5100,474198
87,2017-05-16,sh.600976,26.7300,27.7400,28.1500,26.4100,1073109
88,2017-05-17,sh.600976,27.6000,27.3700,27.7300,27.2500,608234
89,2017-05-18,sh.600976,27.3000,27.4100,28.0500,27.1700,990068
90,2017-05-19,sh.600976,27.3700,26.8500,27.5400,26.8100,748363
91,2017-05-22,sh.600976,26.9200,27.1200,27.2800,26.6800,723966
92,2017-05-23,sh.600976,27.0900,25.9900,27.0900,25.5700,1545087
93,2017-05-24,sh.600976,26.0800,26.3100,26.7800,25.5800,1675502
94,2017-05-25,sh.600976,26.0500,26.2900,26.3100,25.6600,1458938
95,2017-05-26,sh.600976,26.2300,26.0000,26.2900,25.8200,1882921
96,2017-05-31,sh.600976,26.1800,25.9000,26.2000,25.8100,1046760
97,2017-06-01,sh.600976,25.9000,25.5700,25.9500,25.5700,988079
98,2017-06-02,sh.600976,24.5500,25.5800,25.6800,24.5200,937056
99,2017-06-05,sh.600976,25.8000,25.4800,25.8800,25.3500,851101
100,2017-06-06,sh.600976,25.3000,25.5100,25.7800,25.3000,833217
101,2017-06-07,sh.600976,25.7100,26.0400,26.1000,25.6200,860345
102,2017-06-08,sh.600976,26.1600,25.9900,26.3000,25.8800,506900
103,2017-06-09,sh.600976,26.1800,26.2800,26.5100,26.1000,791770
104,2017-06-12,sh.600976,26.2300,26.1400,26.5900,26.1100,483079
105,2017-06-13,sh.600976,26.2100,26.3700,26.4700,26.2100,276136
106,2017-06-14,sh.600976,26.4000,26.8200,26.9000,26.2000,600126
107,2017-06-15,sh.600976,26.8200,26.8500,27.2100,26.6100,606610
108,2017-06-16,sh.600976,26.8500,26.8000,26.9900,26.6500,416544
109,2017-06-19,sh.600976,26.6100,26.8100,27.0000,26.6000,523942
110,2017-06-20,sh.600976,27.1800,26.8100,27.2000,26.7200,372345
111,2017-06-21,sh.600976,26.7600,26.8600,27.0000,26.3000,526758
112,2017-06-22,sh.600976,26.9100,26.6200,26.9700,26.6100,1212276
113,2017-06-23,sh.600976,26.7800,26.4800,26.8500,26.2500,835115
114,2017-06-26,sh.600976,26.4500,26.7900,26.7900,26.1900,960810
115,2017-06-27,sh.600976,26.8600,27.0100,27.1500,26.7000,1037789
116,2017-06-28,sh.600976,27.0100,26.9500,27.0400,26.8100,947316
117,2017-06-29,sh.600976,26.9500,26.8600,27.1500,26.8000,822836
118,2017-06-30,sh.600976,27.0000,27.0100,27.1600,26.6600,403000
119,2017-07-03,sh.600976,26.8000,27.6500,27.7100,26.7900,810005
120,2017-07-04,sh.600976,27.5200,27.4700,28.4800,27.2000,1090700
121,2017-07-05,sh.600976,27.2400,27.4400,27.5600,27.0100,544434
