date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,date,divCash,high,low,open,splitFactor,volume
2010-01-04T00:00:00.000Z,26.6774654454,26.7385465074,26.474277423,26.6051654129,123432523,214.01,2010-01-04T00:00:00.000Z,0.0,214.5,212.38,213.43,1.0,17633200
2010-01-05T00:00:00.000Z,26.7235878799,26.8744207064,26.5827274718,26.7510120302,150476350,214.38,2010-01-05T00:00:00.000Z,0.0,215.59,213.25,214.6,1.0,21496600
2010-01-06T00:00:00.000Z,26.2985135508,26.8295448241,26.2710894006,26.7235878799,138040138,210.97,2010-01-06T00:00:00.000Z,0.0,215.23,210.75,214.38,1.0,19720000
2010-01-07T00:00:00.000Z,26.2498980117,26.4269084362,26.0591755122,26.3957446291,119282919,210.58,2010-01-07T00:00:00.000Z,0.0,212.0,209.05,211.75,1.0,17040400
2010-01-08T00:00:00.000Z,26.4244153316,26.4269084362,26.0604220645,26.2149945478,111902811,211.98,2010-01-08T00:00:00.000Z,0.0,212.0,209.06,210.3,1.0,15986100
2010-01-11T00:00:00.000Z,26.1913100544,26.5515636646,25.9843823751,26.5266326189,115557515,210.11,2010-01-11T00:00:00.000Z,0.0,213.0,208.45,212.8,1.0,16508200
2010-01-12T00:00:00.000Z,25.8933840583,26.1489272767,25.7313322613,26.0766272442,148615048,207.72,2010-01-12T00:00:00.000Z,0.0,209.77,206.42,209.19,1.0,21230700
2010-01-13T00:00:00.000Z,26.2586238777,26.2935273417,25.4421321312,25.9120823426,151473151,210.65,2010-01-13T00:00:00.000Z,0.0,210.93,204.1,207.87,1.0,21639000
2010-01-14T00:00:00.000Z,26.106544499,26.2349393843,26.0554358553,26.1913100544,108223608,209.43,2010-01-14T00:00:00.000Z,0.0,210.46,209.02,210.11,1.0,15460500
2010-01-15T00:00:00.000Z,25.6702511993,26.3770463448,25.6627718856,26.2935273417,148517048,205.93,2010-01-15T00:00:00.000Z,0.0,211.6,205.87,210.93,1.0,21216700
2010-01-19T00:00:00.000Z,26.8058603307,26.824558615,25.8335495486,25.9694237477,182502082,215.04,2010-01-19T00:00:00.000Z,0.0,215.19,207.24,208.33,1.0,26071700
2010-01-20T00:00:00.000Z,26.3926282483,26.8694344972,26.115270365,26.789655151,153038353,211.725,2010-01-20T00:00:00.000Z,0.0,215.55,209.5,214.91,1.0,21862600
2010-01-21T00:00:00.000Z,25.9372626987,26.5906804753,25.8298098918,26.4368808544,152038752,208.072,2010-01-21T00:00:00.000Z,0.0,213.3138,207.21,212.08,1.0,21719800
2010-01-22T00:00:00.000Z,24.6505714304,25.865959908,24.5770248456,25.7762081435,220442120,197.75,2010-01-22T00:00:00.000Z,0.0,207.5,197.16,206.78,1.0,31491700
2010-01-25T00:00:00.000Z,25.3143605221,25.5169252683,24.9547301879,25.243930318,266425166,203.075,2010-01-25T00:00:00.000Z,0.0,204.7,200.19,202.51,1.0,38060700
2010-01-26T00:00:00.000Z,25.6714977516,26.6400688769,25.252656184,25.6727443039,466777966,205.94,2010-01-26T00:00:00.000Z,0.0,213.71,202.58,205.95,1.0,66682500
2010-01-27T00:00:00.000Z,25.9138275158,26.2498980117,24.8725823923,25.7849340095,430642530,207.884,2010-01-27T00:00:00.000Z,0.0,210.58,199.531,206.85,1.0,61520300
2010-01-28T00:00:00.000Z,24.8425404823,25.6166494511,24.7689938975,25.5455959709,293375893,199.29,2010-01-28T00:00:00.000Z,0.0,205.5,198.7,204.93,1.0,41910800
2010-01-29T00:00:00.000Z,23.9416571461,25.2052871971,23.7156572169,25.0656733413,311488411,192.063,2010-01-29T00:00:00.000Z,0.0,202.2,190.25,201.08,1.0,44498300
2010-02-01T00:00:00.000Z,24.2741126405,24.4324247806,23.8465452068,23.9799263013,187469287,194.73,2010-02-01T00:00:00.000Z,0.0,196.0,191.3,192.37,1.0,26781300
2010-02-02T00:00:00.000Z,24.4149730486,24.4723144537,24.105828082,24.42120581,174585774,195.86,2010-02-02T00:00:00.000Z,0.0,196.32,193.38,195.91,1.0,24940800
2010-02-03T00:00:00.000Z,24.8350611686,24.9559767402,24.2354695196,24.328960941,153832153,199.23,2010-02-03T00:00:00.000Z,0.0,200.2,194.42,195.17,1.0,21976000
2010-02-04T00:00:00.000Z,23.9400366281,24.7278576721,23.8802021185,24.5234230974,189413189,192.05,2010-02-04T00:00:00.000Z,0.0,198.37,191.57,196.73,1.0,27059000
2010-02-05T00:00:00.000Z,24.3651109572,24.4324247806,23.790450354,24.0117133845,212576912,195.46,2010-02-05T00:00:00.000Z,0.0,196.0,190.85,192.625,1.0,30368100
2010-02-08T00:00:00.000Z,24.1980729511,24.6667766101,24.1831143237,24.3937816598,119567819,194.12,2010-02-08T00:00:00.000Z,0.0,197.88,194.0,195.69,1.0,17081100
2010-02-09T00:00:00.000Z,24.456109274,24.6194076233,24.276605745,24.4847799766,158221858,196.19,2010-02-09T00:00:00.000Z,0.0,197.5,194.75,196.42,1.0,22603100
2010-02-10T00:00:00.000Z,24.3222295586,24.5072179177,24.2155246831,24.4187127055,92590492,195.116,2010-02-10T00:00:00.000Z,0.0,196.6,194.26,195.89,1.0,13227200
2010-02-11T00:00:00.000Z,24.7652542406,24.8998818874,24.1905936374,24.2928109247,137586537,198.67,2010-02-11T00:00:00.000Z,0.0,199.75,194.06,194.88,1.0,19655200
2010-02-12T00:00:00.000Z,24.9784146813,25.1354802692,24.3700971664,24.6954473127,163867363,200.38,2010-02-12T00:00:00.000Z,0.0,201.64,195.5,198.11,1.0,23409600
2010-02-16T00:00:00.000Z,25.3548734713,25.3910234876,25.1205216418,25.1728768377,135934535,203.4,2010-02-16T00:00:00.000Z,0.0,203.69,201.52,201.94,1.0,19419200
2010-02-17T00:00:00.000Z,25.2489165271,25.4683097292,25.038249191,25.4533511018,109099309,202.55,2010-02-17T00:00:00.000Z,0.0,204.31,200.86,204.19,1.0,15585600
2010-02-18T00:00:00.000Z,25.2960362035,25.4159545333,25.0457285047,25.1342337169,105706405,202.928,2010-02-18T00:00:00.000Z,0.0,203.89,200.92,201.63,1.0,15100900
2010-02-19T00:00:00.000Z,25.1392199261,25.3299424256,25.0694129981,25.1629044195,103867503,201.67,2010-02-19T00:00:00.000Z,0.0,203.2,201.11,201.86,1.0,14838200
2010-02-22T00:00:00.000Z,24.9829022695,25.2426837657,24.8300749594,25.2227389291,97640997,200.416,2010-02-22T00:00:00.000Z,0.0,202.5,199.19,202.34,1.0,13948700
2010-02-23T00:00:00.000Z,24.5644346676,25.0968371484,24.3962747644,24.9310456945,143773843,197.059,2010-02-23T00:00:00.000Z,0.0,201.33,195.71,200.0,1.0,20539100
2010-02-24T00:00:00.000Z,25.0128195244,25.1105492235,24.661790401,24.7104059401,115141715,200.656,2010-02-24T00:00:00.000Z,0.0,201.44,197.84,198.23,1.0,16448800
2010-02-25T00:00:00.000Z,25.1803561514,25.2875596479,24.543367934,24.6044489959,166281666,202.0,2010-02-25T00:00:00.000Z,0.0,202.86,196.89,197.38,1.0,23754500
2010-02-26T00:00:00.000Z,25.50695285,25.5755132257,25.1803561514,25.2277251383,126865326,204.62,2010-02-26T00:00:00.000Z,0.0,205.17,202.0,202.38,1.0,18123600
2010-03-01T00:00:00.000Z,26.0516961985,26.115270365,25.6104166897,25.6478132582,137523537,208.99,2010-03-01T00:00:00.000Z,0.0,209.5,205.45,205.75,1.0,19646200
2010-03-02T00:00:00.000Z,26.0342444665,26.2810618189,25.8958771629,26.1688721132,141636741,208.85,2010-03-02T00:00:00.000Z,0.0,210.83,207.74,209.93,1.0,20233800
2010-03-03T00:00:00.000Z,26.0940789761,26.1613927995,25.9208082086,26.045463437,93013293,209.33,2010-03-03T00:00:00.000Z,0.0,209.87,207.94,208.94,1.0,13287600
2010-03-04T00:00:00.000Z,26.2661031914,26.2922807894,26.0068203162,26.0878462147,91510391,210.71,2010-03-04T00:00:00.000Z,0.0,210.92,208.63,209.28,1.0,13072900
2010-03-05T00:00:00.000Z,27.2932622741,27.3867536954,26.7547516871,26.7933948079,224905324,218.95,2010-03-05T00:00:00.000Z,0.0,219.7,214.63,214.94,1.0,32129300
2010-03-08T00:00:00.000Z,27.3094674538,27.4353692345,27.2060036141,27.4253968162,107472507,219.08,2010-03-08T00:00:00.000Z,0.0,220.09,218.25,220.01,1.0,15353200
2010-03-09T00:00:00.000Z,27.8006090539,28.0474264063,27.1611277319,27.2134829278,230065030,223.02,2010-03-09T00:00:00.000Z,0.0,225.0,217.89,218.31,1.0,32866400
2010-03-10T00:00:00.000Z,28.0274815698,28.107260916,27.8230469951,27.9015174614,149054649,224.84,2010-03-10T00:00:00.000Z,0.0,225.48,223.2,223.8295,1.0,21293500
2010-03-11T00:00:00.000Z,28.1097540206,28.1097540206,27.8380056225,27.9115522073,101425201,225.5,2010-03-11T00:00:00.000Z,0.0,225.5,223.32,223.91,1.0,14489300
2010-03-12T00:00:00.000Z,28.2468747719,28.38773518,28.1409178277,28.3428592978,104081004,226.6,2010-03-12T00:00:00.000Z,0.0,227.73,225.75,227.37,1.0,14868700
2010-03-15T00:00:00.000Z,27.9028263413,28.1097540206,27.4553140711,28.0947953931,123375823,223.84,2010-03-15T00:00:00.000Z,0.0,225.5,220.25,225.38,1.0,17625100
2010-03-16T00:00:00.000Z,27.9788660307,28.0449333017,27.7370348874,27.945209119,111727111,224.45,2010-03-16T00:00:00.000Z,0.0,224.98,222.51,224.18,1.0,15961000
2010-03-17T00:00:00.000Z,27.9377298053,28.2281764876,27.8317728611,28.0349608835,112739312,224.12,2010-03-17T00:00:00.000Z,0.0,226.45,223.27,224.9,1.0,16105600
2010-03-18T00:00:00.000Z,28.0037970763,28.0474264063,27.7495004103,27.9352367007,85527485,224.65,2010-03-18T00:00:00.000Z,0.0,225.0,222.61,224.1,1.0,12218200
2010-03-19T00:00:00.000Z,27.7046120625,28.0773436611,27.577476195,28.0212488083,139861539,222.2499,2010-03-19T00:00:00.000Z,0.0,225.24,221.23,224.79,1.0,19980200
2010-03-22T00:00:00.000Z,28.0162625992,28.1720816348,27.4428485482,27.4827382213,114105014,224.75,2010-03-22T00:00:00.000Z,0.0,226.0,220.15,220.47,1.0,16300700
2010-03-23T00:00:00.000Z,28.466267974,28.5186231699,27.9352367007,28.1272057525,150607950,228.36,2010-03-23T00:00:00.000Z,0.0,228.78,224.1,225.64,1.0,21515400
2010-03-24T00:00:00.000Z,28.5921697547,28.6956335944,28.3603110298,28.3765162095,149445249,229.37,2010-03-24T00:00:00.000Z,0.0,230.2,227.51,227.64,1.0,21349300
