date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,date,divCash,high,low,open,splitFactor,volume
2010-04-14T00:00:00.000Z,50.5254133778,50.6800604673,50.3413096999,50.6064189961,18777800,68.61,2010-04-14T00:00:00.000Z,0.0,68.82,68.36,68.72,1.0,18777800
2010-04-15T00:00:00.000Z,50.2676682287,50.6064189961,50.1866626104,50.4444077595,16712900,68.26,2010-04-15T00:00:00.000Z,0.0,68.72,68.15,68.5,1.0,16712900
2010-04-16T00:00:00.000Z,50.0246513738,50.5916907019,49.8626401372,50.164570169,33855100,67.93,2010-04-16T00:00:00.000Z,0.0,68.7,67.71,68.12,1.0,33855100
2010-04-19T00:00:00.000Z,50.2455757873,50.4002228768,49.7595420775,49.8920967257,25686000,68.23,2010-04-19T00:00:00.000Z,0.0,68.44,67.57,67.75,1.0,25686000
2010-04-20T00:00:00.000Z,50.7905226741,50.974626352,50.4444077595,50.5327775249,22989500,68.97,2010-04-20T00:00:00.000Z,0.0,69.22,68.5,68.62,1.0,22989500
2010-04-21T00:00:00.000Z,50.7537019385,51.1292734415,50.4959567893,50.8126151154,21119200,68.92,2010-04-21T00:00:00.000Z,0.0,69.43,68.57,69.0,1.0,21119200
2010-04-22T00:00:00.000Z,50.4885926422,50.6137831432,50.2382116402,50.4591360538,21654700,68.56,2010-04-22T00:00:00.000Z,0.0,68.73,68.22,68.52,1.0,21654700
2010-04-23T00:00:00.000Z,50.9893546463,51.0114470876,50.2087550517,50.4444077595,24340000,69.24,2010-04-23T00:00:00.000Z,0.0,69.27,68.18,68.5,1.0,24340000
2010-04-26T00:00:00.000Z,51.0261753819,51.2029149127,50.7610660856,50.8347075568,18237100,69.29,2010-04-26T00:00:00.000Z,0.0,69.53,68.93,69.03,1.0,18237100
2010-04-27T00:00:00.000Z,50.2750323758,51.5490298272,50.223483346,50.8199792625,36374700,68.27,2010-04-27T00:00:00.000Z,0.0,70.0,68.2,69.01,1.0,36374700
2010-04-28T00:00:00.000Z,50.9525339107,51.2102790598,50.5254133778,50.7168812029,33243500,69.19,2010-04-28T00:00:00.000Z,0.0,69.54,68.61,68.87,1.0,33243500
2010-04-29T00:00:00.000Z,50.5622341134,51.2986488252,50.2529399344,50.4075870239,47200900,68.66,2010-04-29T00:00:00.000Z,0.0,69.66,68.24,68.45,1.0,47200900
2010-04-30T00:00:00.000Z,49.9068250199,51.0409036761,49.8773684314,50.7389736442,43762100,67.77,2010-04-30T00:00:00.000Z,0.0,69.31,67.73,68.9,1.0,43762100
2010-05-03T00:00:00.000Z,49.9583740497,50.2382116402,49.4723403399,50.1572060219,30734900,67.84,2010-05-03T00:00:00.000Z,0.0,68.22,67.18,68.11,1.0,30734900
2010-05-04T00:00:00.000Z,48.9494858945,49.5312535169,48.60337098,49.4502478986,31646100,66.47,2010-05-04T00:00:00.000Z,0.0,67.26,66.0,67.15,1.0,31646100
2010-05-05T00:00:00.000Z,48.728561481,49.2956008091,48.478180479,48.5591860973,30260300,66.17,2010-05-05T00:00:00.000Z,0.0,66.94,65.83,65.94,1.0,30260300
2010-05-06T00:00:00.000Z,47.049535938,48.7727463637,43.0508040529,48.4487238905,58336300,63.89,2010-05-06T00:00:00.000Z,0.0,66.23,58.46,65.79,1.0,58336300
2010-05-07T00:00:00.000Z,46.9096171428,47.8080430912,46.5635022282,47.4987489123,69004800,63.7,2010-05-07T00:00:00.000Z,0.0,64.92,63.23,64.5,1.0,69004800
2010-05-10T00:00:00.000Z,47.7123091787,48.419267302,47.5134772065,48.1762504471,38337600,64.79,2010-05-10T00:00:00.000Z,0.0,65.75,64.52,65.42,1.0,38337600
2010-05-11T00:00:00.000Z,47.793314797,48.193693171,47.6227832673,47.9119454263,29790600,64.46,2010-05-11T00:00:00.000Z,0.44,65.0,64.23,64.62,1.0,29790600
2010-05-12T00:00:00.000Z,48.126963442,48.4457832584,47.8229724543,47.926774255,25390700,64.91,2010-05-12T00:00:00.000Z,0.0,65.34,64.5,64.64,1.0,25390700
2010-05-13T00:00:00.000Z,48.0009183983,48.393882358,47.6895129963,48.0973057847,26791600,64.74,2010-05-13T00:00:00.000Z,0.0,65.27,64.32,64.87,1.0,26791600
2010-05-14T00:00:00.000Z,47.1556751643,47.993503984,46.6440805752,47.8229724543,38815400,63.6,2010-05-14T00:00:00.000Z,0.0,64.73,62.91,64.5,1.0,38815400
2010-05-17T00:00:00.000Z,46.9109994912,47.3632787656,46.1621436435,47.2594769649,31923700,63.27,2010-05-17T00:00:00.000Z,0.0,63.88,62.26,63.74,1.0,31923700
2010-05-18T00:00:00.000Z,46.5551076032,47.6524409246,46.2807742728,47.4893238093,34457000,62.79,2010-05-18T00:00:00.000Z,0.0,64.27,62.42,64.05,1.0,34457000
2010-05-19T00:00:00.000Z,46.3030175158,46.6663238182,45.9693688708,46.3104319302,36722500,62.45,2010-05-19T00:00:00.000Z,0.0,62.94,62.0,62.46,1.0,36722500
2010-05-20T00:00:00.000Z,44.731161677,45.7321076121,44.642188705,45.5764049111,57194500,60.33,2010-05-20T00:00:00.000Z,0.0,61.68,60.21,61.47,1.0,57194500
2010-05-21T00:00:00.000Z,45.1389544654,45.1908553657,43.8636752,43.8636752,52802900,60.88,2010-05-21T00:00:00.000Z,0.0,60.95,59.16,59.16,1.0,52802900
2010-05-24T00:00:00.000Z,44.6273598764,45.2279274374,44.5828733904,45.0351526647,27847800,60.19,2010-05-24T00:00:00.000Z,0.0,61.0,60.13,60.74,1.0,27847800
2010-05-25T00:00:00.000Z,44.2714679883,44.3233688887,43.3446661966,43.7376301563,50533800,59.71,2010-05-25T00:00:00.000Z,0.0,59.78,58.46,58.99,1.0,50533800
2010-05-26T00:00:00.000Z,43.974891415,44.8275490634,43.8340175426,44.5458013187,34028900,59.31,2010-05-26T00:00:00.000Z,0.0,60.46,59.12,60.08,1.0,34028900
2010-05-27T00:00:00.000Z,45.5689904968,45.6357202258,44.5606301474,44.8572067207,31911500,61.46,2010-05-27T00:00:00.000Z,0.0,61.55,60.1,60.5,1.0,31911500
2010-05-28T00:00:00.000Z,44.8275490634,45.7246931978,44.6940896054,45.3836301384,32078700,60.46,2010-05-28T00:00:00.000Z,0.0,61.67,60.28,61.21,1.0,32078700
2010-06-01T00:00:00.000Z,43.930404929,45.1241256367,43.8488463713,44.7682337487,32972000,59.25,2010-06-01T00:00:00.000Z,0.0,60.86,59.14,60.38,1.0,32972000
2010-06-02T00:00:00.000Z,45.0573959077,45.0796391507,43.9178004246,44.1231797016,28668400,60.77,2010-06-02T00:00:00.000Z,0.0,60.8,59.233,59.51,1.0,28668400
2010-06-03T00:00:00.000Z,45.6431346401,45.9767832851,44.9313508641,45.3984589671,32383700,61.56,2010-06-03T00:00:00.000Z,0.0,62.01,60.6,61.23,1.0,32383700
2010-06-04T00:00:00.000Z,44.1343013231,45.2649995091,43.9596918656,45.0351526647,45019200,59.525,2010-06-04T00:00:00.000Z,0.0,61.05,59.2895,60.74,1.0,45019200
